character name,gender,x position,y position,z position,time Stamp
radiah,female,-1.34,0.91,3.10,10/15/2020 4:25:52 PM
radiah,female,-2.07,0.96,2.81,10/15/2020 4:25:53 PM
radiah,female,-2.28,0.89,2.52,10/15/2020 4:25:54 PM
radiah,female,-2.09,0.87,2.81,10/15/2020 4:25:55 PM
radiah,female,-1.73,1.00,3.25,10/15/2020 4:25:56 PM
radiah,female,-1.86,0.95,3.08,10/15/2020 4:25:57 PM
radiah,female,-2.49,0.95,2.46,10/15/2020 4:25:58 PM
radiah,female,-2.29,1.01,1.97,10/15/2020 4:25:59 PM
radiah,female,-2.37,1.12,1.96,10/15/2020 4:26:00 PM
radiah,female,-2.00,1.02,2.66,10/15/2020 4:26:01 PM
radiah,female,-1.32,0.91,3.15,10/15/2020 4:26:02 PM
radiah,female,-1.30,0.91,3.12,10/15/2020 4:26:03 PM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:46 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:46 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:50 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:50 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:51 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:51 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:52 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:52 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:53 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:53 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:54 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:54 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:55 AM
radiah,female,-1.37,1.00,3.07,10/22/2020 11:30:55 AM
radiah,female,-1.44,1.05,3.10,10/22/2020 11:30:56 AM
radiah,female,-1.44,1.05,3.10,10/22/2020 11:30:56 AM
radiah,female,-1.77,1.22,3.00,10/22/2020 11:30:57 AM
radiah,female,-1.77,1.22,3.00,10/22/2020 11:30:57 AM
radiah,female,-1.68,1.16,2.97,10/22/2020 11:30:58 AM
radiah,female,-1.68,1.16,2.97,10/22/2020 11:30:58 AM
radiah,female,-1.66,1.15,3.01,10/22/2020 11:30:59 AM
radiah,female,-1.66,1.15,3.01,10/22/2020 11:30:59 AM
radiah,female,-1.67,1.16,3.00,10/22/2020 11:31:00 AM
radiah,female,-1.67,1.16,3.00,10/22/2020 11:31:00 AM
radiah,female,-1.70,1.16,2.98,10/22/2020 11:31:01 AM
radiah,female,-1.70,1.16,2.98,10/22/2020 11:31:01 AM
radiah,female,-1.73,1.17,2.95,10/22/2020 11:31:02 AM
radiah,female,-1.73,1.17,2.95,10/22/2020 11:31:02 AM
radiah,female,-1.66,1.12,2.97,10/22/2020 11:31:03 AM
radiah,female,-1.66,1.12,2.97,10/22/2020 11:31:03 AM
radiah,female,-1.65,1.09,2.96,10/22/2020 11:31:04 AM
radiah,female,-1.65,1.09,2.96,10/22/2020 11:31:04 AM
radiah,female,-1.63,1.07,2.94,10/22/2020 11:31:05 AM
radiah,female,-1.63,1.07,2.94,10/22/2020 11:31:05 AM
radiah,female,-1.64,1.06,2.94,10/22/2020 11:31:06 AM
radiah,female,-1.64,1.06,2.94,10/22/2020 11:31:06 AM
radiah,female,-1.65,1.06,2.93,10/22/2020 11:31:07 AM
radiah,female,-1.65,1.06,2.93,10/22/2020 11:31:07 AM
radiah,female,-1.66,1.06,2.93,10/22/2020 11:31:08 AM
radiah,female,-1.66,1.06,2.93,10/22/2020 11:31:08 AM
radiah,female,-1.47,1.09,3.06,10/22/2020 11:31:09 AM
radiah,female,-1.47,1.09,3.06,10/22/2020 11:31:09 AM
radiah,female,-1.36,1.01,3.03,10/22/2020 11:31:10 AM
radiah,female,-1.36,1.01,3.03,10/22/2020 11:31:10 AM
radiah,female,-1.35,1.01,3.03,10/22/2020 11:31:11 AM
radiah,female,-1.35,1.01,3.03,10/22/2020 11:31:11 AM
radiah,female,-1.35,1.01,3.04,10/22/2020 11:31:12 AM
radiah,female,-1.35,1.01,3.04,10/22/2020 11:31:12 AM
radiah,female,-1.34,1.01,3.06,10/22/2020 11:31:13 AM
radiah,female,-1.34,1.01,3.06,10/22/2020 11:31:13 AM
radiah,female,-1.34,1.01,3.06,10/22/2020 11:31:14 AM
radiah,female,-1.34,1.01,3.06,10/22/2020 11:31:14 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:36 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:36 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:37 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:37 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:38 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:38 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:39 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:39 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:40 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:40 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:41 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:41 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:42 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:42 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:43 AM
radiah,female,-1.34,1.01,3.05,10/22/2020 11:31:43 AM
radiah,female,-1.73,1.28,2.95,10/22/2020 11:31:44 AM
radiah,female,-1.73,1.28,2.95,10/22/2020 11:31:44 AM
radiah,female,-1.67,1.23,2.94,10/22/2020 11:31:45 AM
radiah,female,-1.67,1.23,2.94,10/22/2020 11:31:45 AM
radiah,female,-1.78,1.30,3.35,10/22/2020 11:31:46 AM
radiah,female,-1.78,1.30,3.35,10/22/2020 11:31:46 AM
radiah,female,-1.74,1.40,3.24,10/22/2020 11:31:47 AM
radiah,female,-1.74,1.40,3.24,10/22/2020 11:31:47 AM
radiah,female,-1.78,1.39,3.27,10/22/2020 11:31:48 AM
radiah,female,-1.78,1.39,3.27,10/22/2020 11:31:48 AM
radiah,female,-1.80,1.40,3.30,10/22/2020 11:31:49 AM
radiah,female,-1.80,1.40,3.30,10/22/2020 11:31:49 AM
radiah,female,-1.81,1.43,3.29,10/22/2020 11:31:50 AM
radiah,female,-1.81,1.43,3.29,10/22/2020 11:31:50 AM
radiah,female,-1.79,1.42,3.29,10/22/2020 11:31:51 AM
radiah,female,-1.79,1.42,3.29,10/22/2020 11:31:51 AM
radiah,female,-1.77,1.39,3.29,10/22/2020 11:31:52 AM
radiah,female,-1.77,1.39,3.29,10/22/2020 11:31:52 AM
radiah,female,-1.79,1.41,3.29,10/22/2020 11:31:53 AM
radiah,female,-1.79,1.41,3.29,10/22/2020 11:31:53 AM
radiah,female,-1.79,1.43,3.27,10/22/2020 11:31:54 AM
radiah,female,-1.79,1.43,3.27,10/22/2020 11:31:54 AM
radiah,female,-1.82,1.47,3.18,10/22/2020 11:31:55 AM
radiah,female,-1.82,1.47,3.18,10/22/2020 11:31:55 AM
radiah,female,-1.75,1.42,3.17,10/22/2020 11:31:56 AM
radiah,female,-1.75,1.42,3.17,10/22/2020 11:31:56 AM
radiah,female,-1.36,0.99,3.06,10/22/2020 11:31:57 AM
radiah,female,-1.36,0.99,3.06,10/22/2020 11:31:57 AM
radiah,female,-1.36,0.95,3.04,10/22/2020 11:31:58 AM
radiah,female,-1.36,0.95,3.04,10/22/2020 11:31:58 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:31:59 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:31:59 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:00 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:00 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:01 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:01 AM
